STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 00:03,FM-16,BKN:07 22,10.00,,51,10.6,47,8.4,43,6.1,74,11,270,,29.96,,,,,29.97,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 00:13,FM-16,SCT:04 22,10.00,,51,10.6,47,8.4,43,6.1,74,14,250,,29.95,,,,,29.96,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 00:31,FM-16,BKN:07 22,10.00,,50,10.0,47,8.1,43,6.1,77,10,250,,29.95,,,,,29.96,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 00:56,FM-15,OVC:08 20,10.00,,51,10.6,47,8.4,43,6.1,74,13,270,18,29.95,0,,29.96,0.00,29.96,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 01:56,FM-15,OVC:08 22,10.00,,51,10.6,47,8.2,42,5.6,71,17,280,24,29.96,,,29.97,0.00,29.97,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 02:56,FM-15,OVC:08 24,10.00,,51,10.6,46,7.9,41,5.0,69,20,260,29,29.96,,,29.97,0.00,29.97,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 03:56,FM-15,OVC:08 24,10.00,,50,10.0,45,7.4,40,4.4,68,20,270,29,29.93,8,,29.94,0.00,29.94,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 04:56,FM-15,FEW:02 20 OVC:08 23,10.00,,50,10.0,46,7.6,41,5.0,71,16,250,,29.91,,,29.93,0.00,29.93,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 05:56,FM-15,FEW:02 20 OVC:08 23,10.00,,50,10.0,46,7.6,41,5.0,71,11,270,,29.91,,,29.93,0.00,29.93,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:23234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2.4,37.6197,-122.3647,2017-01-01 06:56,FM-15,FEW:02 20 OVC:08 22,10.00,,50,10.0,45,7.4,40,4.4,68,15,280,,29.93,3,,29.95,0.00,29.94,,,,,,,,,,0725,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
